month,revenue,revenue_same_month_prev_year,yoy_growth_pct
2017-01-01 00:00:00.000000 UTC,137006.76,,
2017-02-01 00:00:00.000000 UTC,283621.94,,
2017-03-01 00:00:00.000000 UTC,425656.4,,
2017-04-01 00:00:00.000000 UTC,405988.38,,
2017-05-01 00:00:00.000000 UTC,582926.16,,
2017-06-01 00:00:00.000000 UTC,499827.47,,
2017-07-01 00:00:00.000000 UTC,578858.58,,
2017-08-01 00:00:00.000000 UTC,662071.77,,
2017-09-01 00:00:00.000000 UTC,717195.22,,
2017-10-01 00:00:00.000000 UTC,764785.28,,
2017-11-01 00:00:00.000000 UTC,1172639.23,,
2017-12-01 00:00:00.000000 UTC,861914.46,,
2018-01-01 00:00:00.000000 UTC,1102639.41,137006.76,704.8
2018-02-01 00:00:00.000000 UTC,979966.23,283621.94,245.5
2018-03-01 00:00:00.000000 UTC,1152736.74,425656.4,170.8
2018-04-01 00:00:00.000000 UTC,1156303.91,405988.38,184.8
2018-05-01 00:00:00.000000 UTC,1145748.63,582926.16,96.6
2018-06-01 00:00:00.000000 UTC,1020494.29,499827.47,104.2
2018-07-01 00:00:00.000000 UTC,1039880.16,578858.58,79.6
2018-08-01 00:00:00.000000 UTC,996896.15,662071.77,50.6 


and
-- installment-driven AOV growth.
